"","Nrep","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","PC","DR","power_cogganTSS"
"1...1148",6,120,105,"elevee",312.947910877278,156.473955438639,1230,270.596413196958,1,325.177285892924
"1...1149",7,120,105,"elevee",312.947910877278,156.473955438639,1455,267.087686431713,1,321.777617221663
"1...1150",8,120,105,"elevee",312.947910877278,156.473955438639,1680,264.191363550188,1,318.863008051953
"1...1151",9,120,105,"elevee",312.947910877278,156.473955438639,1905,261.725300505767,1,316.307751145484
"1...1152",10,120,105,"elevee",312.947910877278,156.473955438639,2130,259.57766180009,1,314.030250667496
"1...1153",11,120,105,"elevee",312.947910877278,156.473955438639,2355,257.675058760003,1,311.974343361845
"1...1154",12,120,105,"elevee",312.947910877278,156.473955438639,2580,255.966815606958,1,310.099616186943
"1...1155",13,120,105,"elevee",312.947910877278,156.473955438639,2805,254.416504451781,1,308.375960164056
"1...1156",14,120,105,"elevee",312.947910877278,156.473955438639,3030,252.997074197167,1,306.780306485384
"1...1157",15,120,105,"elevee",312.947910877278,156.473955438639,3255,251.687891328336,1,305.294568844214
"1...1158",16,120,105,"elevee",312.947910877278,156.473955438639,3480,250.472860088804,1,303.904291403856
"1...1159",17,120,105,"elevee",312.947910877278,156.473955438639,3705,249.339182812782,1,302.597729283777
"1...1160",18,120,105,"elevee",312.947910877278,156.473955438639,3930,248.276516009093,1,301.365204716671
"1...1161",19,120,105,"elevee",312.947910877278,156.473955438639,4155,247.276379932271,1,300.1986448379
"1...1162",20,120,105,"elevee",312.947910877278,156.473955438639,4380,246.331735568258,1,299.091242613853
"1...1163",2,150,105,"elevee",312.947910877278,156.473955438639,360,305.188853148932,1,357.609436244868
"1...1164",3,150,105,"elevee",312.947910877278,156.473955438639,615,287.38980592395,1,346.894072801387
"1...1165",4,150,105,"elevee",312.947910877278,156.473955438639,870,278.407420413188,1,340.249204567861
"1...1166",5,150,105,"elevee",312.947910877278,156.473955438639,1125,272.525920885375,1,335.306786430191
"1...1167",6,150,105,"elevee",312.947910877278,156.473955438639,1380,268.177173569977,1,331.330293029644
"1...1168",7,150,105,"elevee",312.947910877278,156.473955438639,1635,264.731678072519,1,327.987031671909
"1...1169",8,150,105,"elevee",312.947910877278,156.473955438639,1890,261.878813441393,1,325.095156465425
"1...1170",9,150,105,"elevee",312.947910877278,156.473955438639,2145,259.443856140339,1,322.543157176013
"1...1171",10,150,105,"elevee",312.947910877278,156.473955438639,2400,257.319193769308,1,320.257191153458
"1...1172",11,150,105,"elevee",312.947910877278,156.473955438639,2655,255.433991641719,1,318.185590232687
